Target_RNA_ID	Target_RNA_name	AA	DNC_AG	DNC_AC	DNC_AU	DNC_GA	DNC_GG	DNC_GC	DNC_GU	DNC_CA	DNC_CG	DNC_CC	DNC_CU	DNC_UA	DNC_UG	DNC_UC	DNC_UU	DNC_Feat_17	DNC_Feat_18	DNC_Feat_19	DNC_Feat_20	DNC_Feat_21	DNC_Feat_22	DNC_Feat_23	DNC_Feat_24	
Target_317	miR-17 G-bulge	0.0	0.00232	0.00232	0.00348	0.00116	0.00116	0.00348	0.00464	0.00348	0.0	0.0	0.00232	0.00348	0.0058	0.00116	0.0	0.14314	0.12229	0.09653	0.13509	0.12716	0.09781	0.12233	0.12082	
Target_318	miR-17 U-bulge	0.0	0.00227	0.00227	0.0034	0.00113	0.00113	0.0034	0.00453	0.0034	0.0	0.00113	0.00227	0.0034	0.00566	0.00113	0.0	0.14394	0.13039	0.10015	0.12078	0.13449	0.10712	0.09332	0.13469	
Target_319	miR-17 Base pairing control	0.0	0.00202	0.00202	0.00405	0.00202	0.00101	0.00304	0.00304	0.00304	0.0	0.00101	0.00202	0.00304	0.00506	0.00101	0.0	0.14568	0.14058	0.08074	0.12078	0.14179	0.11881	0.07554	0.14369	
Target_320	miR-18a Dicer site	0.00094	0.00469	0.00094	0.00281	0.00281	0.00094	0.00281	0.00188	0.00281	0.0	0.0	0.00188	0.00375	0.00281	0.00094	0.0	0.14123	0.12894	0.10572	0.12655	0.13048	0.08354	0.15015	0.10337	
Target_321	R-Seq1	0.00102	0.00152	0.00051	0.00152	0.00152	0.0061	0.00102	0.00559	0.00152	0.00102	0.00051	0.00203	0.00102	0.00508	0.00305	0.00407	0.12949	0.13459	0.08827	0.13344	0.13402	0.08415	0.11874	0.14019	
Target_322	R-Seq2	0.00098	0.00147	0.00049	0.00147	0.00147	0.00541	0.00098	0.0059	0.00147	0.00098	0.00049	0.00197	0.00098	0.00541	0.00295	0.00442	0.12964	0.14005	0.09832	0.11693	0.14165	0.10206	0.08964	0.14486	
Target_323	R-Seq3	0.00096	0.00191	0.00048	0.00144	0.00191	0.00526	0.00096	0.00526	0.00144	0.00096	0.00048	0.00191	0.00096	0.00478	0.00287	0.00431	0.13185	0.13429	0.1002	0.11532	0.1414	0.10324	0.09065	0.14716	
Target_324	R-Seq4	0.00106	0.00211	0.00053	0.00158	0.00211	0.00264	0.00158	0.00264	0.00158	0.00053	0.00053	0.00264	0.00106	0.00317	0.00264	0.00475	0.12192	0.12282	0.11874	0.1189	0.12229	0.11066	0.11195	0.14154	
Target_325	Pre-miR-33a	0.00056	0.00112	0.00169	0.00337	0.00056	0.00112	0.00225	0.0045	0.0045	0.00056	0.00169	0.00056	0.00112	0.00506	0.00225	0.00337	0.12532	0.14693	0.1193	0.10846	0.09966	0.11492	0.13338	0.11772	
Target_326	Pre-miR-33a-G31A	0.00056	0.00169	0.00169	0.00337	0.00056	0.00056	0.00225	0.0045	0.0045	0.00056	0.00169	0.00056	0.00169	0.0045	0.00225	0.00337	0.12446	0.14605	0.12176	0.11002	0.10195	0.11645	0.1245	0.12053	
Target_327	Pre-miR-33a-G32A	0.00054	0.00109	0.00163	0.0038	0.00109	0.00054	0.00217	0.0038	0.00434	0.00054	0.00163	0.00054	0.00109	0.00489	0.00217	0.00326	0.12753	0.14461	0.12204	0.11423	0.09974	0.10919	0.13721	0.11233	
Target_328	Pre-miR-24-2	0.00185	0.00371	0.00371	0.0	0.00185	0.00185	0.00247	0.00309	0.00432	0.0	0.00062	0.00309	0.00124	0.00432	0.00124	0.00247	0.1368	0.13947	0.10313	0.12569	0.11344	0.11888	0.12742	0.09934	
Target_331	Pre-miR-17/18a/20a	0.00116	0.00174	0.00232	0.0029	0.0029	0.00174	0.00174	0.00232	0.0029	0.00058	0.00058	0.0029	0.00116	0.00465	0.00232	0.00174	0.12696	0.15876	0.10228	0.12401	0.11076	0.09499	0.11318	0.13538	
